confidence,mini,standard-16,standard,nt,GTDB
CS0,0.007168459,0.023952096,0.007490637,0.011160714,0.003364172
CS0,0.027675277,0.044386423,0.018085106,0.00875576,0.00703606
CS0,0.03030303,0.115151515,0.026785714,0.050139276,0.016627078
CS0,0.084070796,0.138211382,0.102739726,0.06640625,0.023328149
CS0,0.07079646,0.105263158,0.025889968,0.064748201,0.006591337
CS0,0.038554217,0.1,0.013487476,0.013333333,0.007376671
CS0,0.01743462,0.111111111,0.008796042,0.007755696,0.006018054
CS0,0.045592705,0.145299145,0.024464832,0.010766308,0.011126565
CS0,0.032258065,0.11038961,0.040380048,0.058608059,0.012019231
CS0,0.096256684,0.138686131,0.101522843,0.076,0.02739726
CS0.2,0.097560976,0.071428571,0.044117647,0.057692308,0.014981273
CS0.2,0.833333333,0.8,0.447368421,0.473684211,0.09039548
CS0.2,0.428571429,0.941176471,0.183908046,0.421052632,0.057142857
CS0.2,0.791666667,1,0.761904762,0.772727273,0.070754717
CS0.2,0.516129032,0.9,0.435897436,0.72,0.057377049
CS0.2,0.6,0.944444444,0.291666667,0.4,0.062015504
CS0.2,0.448275862,0.888888889,0.170454545,0.219178082,0.058064516
CS0.2,0.789473684,0.85,0.326530612,0.515151515,0.109589041
CS0.2,0.592592593,1,0.223684211,0.390243902,0.066666667
CS0.2,0.545454545,1,0.425531915,0.612903226,0.089108911
CS0.4,0.16,0,0.06122449,0.069767442,0.027586207
CS0.4,0.916666667,1,0.566666667,0.566666667,0.2
CS0.4,0.833333333,1,0.32,0.571428571,0.112903226
CS0.4,1,1,0.941176471,1,0.132743363
CS0.4,0.866666667,1,0.62962963,0.947368421,0.109375
CS0.4,0.916666667,1,0.48,0.727272727,0.10738255
CS0.4,0.875,0.777777778,0.384615385,0.444444444,0.116129032
CS0.4,1,1,0.4375,0.653846154,0.2
CS0.4,0.9,1,0.326923077,0.761904762,0.112781955
CS0.4,0.882352941,1,0.612903226,0.95,0.14516129
CS0.6,0,0,0.063829787,0.073170732,0.043956044
CS0.6,0,0,0.739130435,0.68,0.347826087
CS0.6,0,0,0.444444444,0.727272727,0.2
CS0.6,0,0,0.941176471,1,0.217391304
CS0.6,0,0,0.8,1,0.152173913
CS0.6,0,0,0.545454545,0.941176471,0.181818182
CS0.6,0,0,0.517241379,0.615384615,0.209302326
CS0.6,0,0,0.636363636,0.739130435,0.301886792
CS0.6,0,0,0.459459459,0.842105263,0.1875
CS0.6,0,0,0.791666667,0.95,0.204545455
CS0.8,0,0,0.068181818,0.073170732,0.055555556
CS0.8,0,0,0.80952381,0.85,0.571428571
CS0.8,0,0,0.615384615,0.888888889,0.341463415
CS0.8,0,0,0.941176471,1,0.365853659
CS0.8,0,0,0.888888889,1,0.233333333
CS0.8,0,0,0.631578947,0.941176471,0.301886792
CS0.8,0,0,0.714285714,0.727272727,0.339622642
CS0.8,0,0,0.777777778,1,0.470588235
CS0.8,0,0,0.566666667,0.888888889,0.288461538
CS0.8,0,0,1,1,0.310344828
CS1.0,0,0,0.078947368,0.078947368,0.086956522
CS1.0,0,0,1,0.8,1
CS1.0,0,0,0.789473684,0.888888889,0.777777778
CS1.0,0,0,0.941176471,1,0.652173913
CS1.0,0,0,1,1,0.583333333
CS1.0,0,0,0.8,1,0.888888889
CS1.0,0,0,0.75,0.941176471,0.72
CS1.0,0,0,0.823529412,1,0.888888889
CS1.0,0,0,0.708333333,1,0.714285714
CS1.0,0,0,1,1,0.620689655